subject,tag,label,cat,ccd_acc1,ccd_acc1_ci95_lo,ccd_acc1_ci95_hi
subj01,official_s1,Official-S1,Official,0.5830582976341248,0.5511550903320312,0.6149615049362183
subj01,ours_s1_from_official_full_v1,Ours-fromOff-v1,Official,0.5830582976341248,0.5511550903320312,0.6149615049362183
subj01,final_subj01_pretrained_1sess_24bs,final_subj01_pretrained_1sess_24,Other,0.5137513875961304,0.4840208940207958,0.5445819750428199
subj01,final_subj01_pretrained_40sess_24bs,final_subj01_pretrained_40sess_2,Other,0.5830582976341248,0.5511550903320312,0.6149615049362183
subj01,ours_s1_v1,Ours-v1,Ours,0.4928492903709411,0.4598459899425506,0.524779999256134
subj01,ours_s1_v2,Ours-v2,Ours,0.6347634792327881,0.6017601490020752,0.666694188117981
subj02,final_subj02_pretrained_1sess_24bs,final_subj02_pretrained_1sess_24,Other,0.463146299123764,0.4323432445526123,0.4972497224807739
subj02,final_subj02_pretrained_40sess_24bs,final_subj02_pretrained_40sess_2,Other,0.6105610728263855,0.5764301180839538,0.6413641571998596
subj02,ours_s2_v10,Ours-v10,Ours,0.6237623691558838,0.5918316602706909,0.6567656993865967
subj05,final_subj05_pretrained_1sess_24bs,final_subj05_pretrained_1sess_24,Other,0.4807480871677398,0.4455445408821106,0.5137513875961304
subj05,final_subj05_pretrained_40sess_24bs,final_subj05_pretrained_40sess_2,Other,0.6743674278259277,0.6424642205238342,0.7062706351280212
subj05,ours_s5_v10,Ours-v10,Ours,0.6589658856391907,0.6292629241943359,0.6897689700126648
subj07,final_subj07_pretrained_1sess_24bs,final_subj07_pretrained_1sess_24,Other,0.463146299123764,0.4323432445526123,0.4950495064258575
subj07,final_subj07_pretrained_40sess_24bs,final_subj07_pretrained_40sess_2,Other,0.6237623691558838,0.5918591618537903,0.6545929566025733
subj07,ours_s7_v10,Ours-v10,Ours,0.6281628012657166,0.5962321504950523,0.6600660085678101
